"","owner","name","number","cursor","repoUrl","clients","prUrl","title","state","draft","files","javaFiles","baseRepo","baseRef","baseRefPrefix","headRepo","headRef","headRefPrefix","createdAt","publishedAt","mergedAt","closedAt","base","breakingChanges","brokenClients","brokenUses","changedFiles","checkedClients","errors","head","impactedPackages","seconds"
"11","apache","avro",1589,"Y3Vyc29yOjYwMg==","https://github.com/apache/avro",31141,"https://github.com/apache/avro/pull/1589","AVRO-3404: idl syntax for avsc equivalent","OPEN","false",100,24,"apache/avro","master","refs/heads/","opwvhk/avro","AVRO-3404-IDL-syntax-for-avsc-equivalent","refs/heads/","2022-03-08","2022-03-08",NA,NA,"master",1,3,30,113,59,"null[package] failed (1): [ERROR] Failed to execute goal org.apache.rat:apache-rat-plugin:0.14:check (default) on project avro-toplevel: Too many files with unapproved license: 1 See RAT report in: /data/maracas/experiments/work/apache/avro/efb977928a2e1eb4afed538a0676ca046987f15d/3N315eMJNNOH/target/rat.txt -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException[package] failed (1): [ERROR] Failed to execute goal org.apache.rat:apache-rat-plugin:0.14:check (default) on project avro-toplevel: Too many files with unapproved license: 1 See RAT report in: /data/maracas/experiments/work/apache/avro/efb977928a2e1eb4afed538a0676ca046987f15d/3N315eMJNNOH/target/rat.txt -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException","AVRO-3404-IDL-syntax-for-avsc-equivalent",3,308
"12","apache","avro",1742,"Y3Vyc29yOjYwMg==","https://github.com/apache/avro",31141,"https://github.com/apache/avro/pull/1742","AVRO-3527:  Optimize GenericData.hashCode","OPEN","false",1,1,"apache/avro","master","refs/heads/","clesaec/avro","avro-3527_OptimHashcode","refs/heads/","2022-06-29","2022-06-29",NA,NA,"master",1,0,0,1,100,"","avro-3527_OptimHashcode",1,3304
"13","apache","avro",1954,"Y3Vyc29yOjYwMg==","https://github.com/apache/avro",31141,"https://github.com/apache/avro/pull/1954","AVRO-3666: [Java] Schema parser to handle multiple formats","OPEN","false",100,66,"apache/avro","master","refs/heads/","opwvhk/avro","AVRO-3666-SchemaParser-multiple-formats","refs/heads/","2022-11-11","2022-11-11",NA,NA,"master",18,42,958,251,159,"null[package] failed (1): [ERROR] Failed to execute goal org.apache.rat:apache-rat-plugin:0.14:check (default) on project avro-toplevel: Too many files with unapproved license: 2 See RAT report in: /data/maracas/experiments/work/apache/avro/efb977928a2e1eb4afed538a0676ca046987f15d/etL6zh3IB785/target/rat.txt -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException[package] failed (1): [ERROR] Failed to execute goal org.apache.rat:apache-rat-plugin:0.14:check (default) on project avro-toplevel: Too many files with unapproved license: 3 See RAT report in: /data/maracas/experiments/work/apache/avro/efb977928a2e1eb4afed538a0676ca046987f15d/etL6zh3IB785/target/rat.txt -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException[package] failed (1): [ERROR] Failed to execute goal org.apache.rat:apache-rat-plugin:0.14:check (default) on project avro-toplevel: Too many files with unapproved license: 3 See RAT report in: /data/maracas/experiments/work/apache/avro/efb977928a2e1eb4afed538a0676ca046987f15d/etL6zh3IB785/target/rat.txt -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException[package] failed (1): [ERROR] Failed to execute goal org.apache.rat:apache-rat-plugin:0.14:check (default) on project avro-toplevel: Too many files with unapproved license: 4 See RAT report in: /data/maracas/experiments/work/apache/avro/efb977928a2e1eb4afed538a0676ca046987f15d/etL6zh3IB785/target/rat.txt -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException","AVRO-3666-SchemaParser-multiple-formats",8,3091
"14","apache","camel",7761,"Y3Vyc29yOjMwOQ==","https://github.com/apache/camel",9542,"https://github.com/apache/camel/pull/7761","[CAMEL-17130] camel-file - Use NIO","OPEN","false",18,18,"apache/camel","main","refs/heads/","rnetuka/camel-1","camel-17130","refs/heads/","2022-06-10","2022-06-10",NA,NA,"main",4,0,0,18,0,"null[package] failed (1): [ERROR] Failed to execute goal on project camel-management: Could not resolve dependencies for project org.apache.camel:camel-management:jar:3.18.0-SNAPSHOT: Could not find artifact org.apache.camel:camel-core:jar:tests:3.18.0-SNAPSHOT in apache.snapshots (https://repository.apache.org/snapshots/) -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/DependencyResolutionException[ERROR] [ERROR] After correcting the problems, you can resume the build with the command[ERROR]   mvn <args> -rf :camel-management","camel-17130",4,335
"15","apache","camel",8713,"Y3Vyc29yOjMwOQ==","https://github.com/apache/camel",9542,"https://github.com/apache/camel/pull/8713","Prototype: make span current and clear scope","OPEN","true",12,12,"apache/camel","main","refs/heads/","lmolkova/camel","otel-current-span","refs/heads/","2022-11-11","2022-11-11",NA,NA,"main",1,0,0,12,18,"null[package] failed (1): main:    [mkdir] Created dir: /data/maracas/experiments/work/apache/camel/e96c07ab979d92bc2d01e1b962287695295d99aa/gIql2JAJSGsq/components/camel-spring-xml/target/schema/META-INF/JAXBmain:     [echo] Copying spring meta files     [copy] Copying 2 files to /data/maracas/experiments/work/apache/camel/e96c07ab979d92bc2d01e1b962287695295d99aa/gIql2JAJSGsq/components/camel-spring-xml/target/spring-meta     [copy] Copying 2 files to /data/maracas/experiments/work/apache/camel/e96c07ab979d92bc2d01e1b962287695295d99aa/gIql2JAJSGsq/components/camel-spring-xml/target/classesmain:     [echo] Copying code together for the XSD generation    [mkdir] Created dir: /data/maracas/experiments/work/apache/camel/e96c07ab979d92bc2d01e1b962287695295d99aa/gIql2JAJSGsq/components/camel-spring-xml/target/schema-src     [copy] Copying 381 files to /data/maracas/experiments/work/apache/camel/e96c07ab979d92bc2d01e1b962287695295d99aa/gIql2JAJSGsq/components/camel-spring-xml/target/schema-srcmain:     [echo] Create some jars for testing[ERROR] Failed to execute goal org.apache.maven.plugins:maven-antrun-plugin:1.6:run (Create JAR for test) on project camel-spring-xml: An Ant BuildException has occured: /data/maracas/experiments/work/apache/camel/e96c07ab979d92bc2d01e1b962287695295d99aa/gIql2JAJSGsq/components/camel-spring-xml/target/test-classes does not exist. -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException[ERROR] [ERROR] After correcting the problems, you can resume the build with the command[ERROR]   mvn <args> -rf :camel-spring-xml[package] failed (1): main:main:     [echo] Copying spring meta filesmain:     [echo] Copying code together for the XSD generationmain:     [echo] Create some jars for testing[ERROR] Failed to execute goal org.apache.maven.plugins:maven-antrun-plugin:1.6:run (Create JAR for test) on project camel-spring-xml: An Ant BuildException has occured: /data/maracas/experiments/work/apache/camel/e96c07ab979d92bc2d01e1b962287695295d99aa/gIql2JAJSGsq/components/camel-spring-xml/target/test-classes does not exist. -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException[ERROR] [ERROR] After correcting the problems, you can resume the build with the command[ERROR]   mvn <args> -rf :camel-spring-xml","otel-current-span",7,722
"16","apache","curator",421,"Y3Vyc29yOjQ5MA==","https://github.com/apache/curator",65038,"https://github.com/apache/curator/pull/421","CURATOR-535: Fix client port conflict due to untrustworthy random port allocation","OPEN","false",5,5,"apache/curator","master","refs/heads/","kezhuw/curator","CURATOR-535-fix-port-conflict-for-TestingServer","refs/heads/","2022-06-14","2022-06-14",NA,NA,"master",1,0,0,5,100,"","CURATOR-535-fix-port-conflict-for-TestingServer",1,886
"17","apache","dolphinscheduler",11204,"Y3Vyc29yOjE0NQ==","https://github.com/apache/dolphinscheduler",1486,"https://github.com/apache/dolphinscheduler/pull/11204","[Fix-11197] [Master] Dependency detection bug","OPEN","false",5,4,"apache/dolphinscheduler","dev","refs/heads/","JinyLeeChina/dolphinscheduler","dev_ee","refs/heads/","2022-07-29","2022-07-29",NA,NA,"dev",5,0,0,5,2,"","dev_ee",3,232
"18","apache","dolphinscheduler",11490,"Y3Vyc29yOjE0NQ==","https://github.com/apache/dolphinscheduler",1486,"https://github.com/apache/dolphinscheduler/pull/11490","[Fix] Delete task definition when delete workflow","OPEN","false",15,11,"apache/dolphinscheduler","dev","refs/heads/","stalary/dolphinscheduler","Fix-9029","refs/heads/","2022-08-15","2022-08-15",NA,NA,"dev",4,0,0,15,1,"","Fix-9029",2,162
"19","apache","dolphinscheduler",12241,"Y3Vyc29yOjE0NQ==","https://github.com/apache/dolphinscheduler",1486,"https://github.com/apache/dolphinscheduler/pull/12241","[Feature-12086][API][UI] Support to grant permissions of  the tenant to a user.","OPEN","false",99,55,"apache/dolphinscheduler","dev","refs/heads/","calvinjiang/dolphinscheduler","f-user-tenant-permission","refs/heads/","2022-10-01","2022-10-01",NA,NA,"dev",7,0,0,99,2,"null[package] failed (1): [ERROR] [ERROR] Could not find the selected project in the reactor: dolphinscheduler-e2e/dolphinscheduler-e2e-case @ [ERROR] Could not find the selected project in the reactor: dolphinscheduler-e2e/dolphinscheduler-e2e-case -> [Help 1][ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.[ERROR] Re-run Maven using the -X switch to enable full debug logging.[ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles:[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MavenExecutionException","f-user-tenant-permission",16,293
"20","apache","dolphinscheduler",12454,"Y3Vyc29yOjE0NQ==","https://github.com/apache/dolphinscheduler",1486,"https://github.com/apache/dolphinscheduler/pull/12454","[Improve][Resource] Batch upload file","OPEN","false",13,6,"apache/dolphinscheduler","dev","refs/heads/","insist777/dolphinscheduler","batch-upload-file","refs/heads/","2022-10-20","2022-10-20",NA,NA,"dev",2,0,0,13,3,"","batch-upload-file",3,216
"21","apache","dolphinscheduler",12478,"Y3Vyc29yOjE0NQ==","https://github.com/apache/dolphinscheduler",1486,"https://github.com/apache/dolphinscheduler/pull/12478","[BUG-12361] complement data by serial execution, after a failed process instance, subsequent process instances are not generated","OPEN","false",9,8,"apache/dolphinscheduler","dev","refs/heads/","wcmolin/dolphinscheduler","fix-12361","refs/heads/","2022-10-21","2022-10-21",NA,NA,"dev",1,0,0,9,1,"","fix-12361",3,194
"22","apache","dolphinscheduler",12494,"Y3Vyc29yOjE0NQ==","https://github.com/apache/dolphinscheduler",1486,"https://github.com/apache/dolphinscheduler/pull/12494","[Bug][API]-12453:fix update process instance","OPEN","false",7,5,"apache/dolphinscheduler","dev","refs/heads/","jiangtaoNuc/dolphinscheduler","bug-12453","refs/heads/","2022-10-22","2022-10-22",NA,NA,"dev",1,0,0,7,2,"","bug-12453",1,143
"23","apache","dolphinscheduler",12549,"Y3Vyc29yOjE0NQ==","https://github.com/apache/dolphinscheduler",1486,"https://github.com/apache/dolphinscheduler/pull/12549","[Feature][Authenticator] Add OAuth2 authenticator","OPEN","true",22,20,"apache/dolphinscheduler","dev","refs/heads/","EricGao888/dolphinscheduler","Fix-11242","refs/heads/","2022-10-26","2022-10-26",NA,NA,"dev",27,1,8,22,2,"","Fix-11242",1,147
