owner,name,stars,package,clients,mergedPrs,maven,gradle
apache,zeppelin,5662,org.apache.zeppelin:zeppelin-jupyter,2,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:zengine-plugins-parent,0,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:zeppelin-kylin,0,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:zeppelin-hbase,0,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:zeppelin-zengine,23,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:zeppelin-cassandra,0,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:zeppelin-scalding_2.10,0,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:spark-scala-parent,0,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:launcher-docker,5,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:zeppelin-neo4j,0,73,true,false
apache,zeppelin,5662,org.apache.zeppelin:zeppelin-web,2,73,true,false
